*** 5/20/2021 9:41:46 AM VAdvantage Log  ***
===========>     (SEVERE)   GridWindowVO.Create: No Window - AD_Window_ID=117, AD_Role_ID=0 - SELECT Name,Description,Help,WindowType, AD_Color_ID,AD_Image_ID, IsReadWrite, WinHeight,WinWidth, IsSOTrx, AD_UserDef_Win_ID,IsAppointment,IsTask,IsEmail,IsLetter,IsSms,IsFaxEmail,Name2, ISCHAT, ISATTACHMENT,ISHISTORY,ISCHECKREQUEST,ISCOPYRECORD,ISSUBSCRIBERECORD,ISZOOMACROSS,ISCREATEDOCUMENT,ISUPLOADDOCUMENT,ISVIEWDOCUMENT,IsAttachDocumentFrom,  ISIMPORTMAP,ISMARKTOEXPORT,ISARCHIVE,ISATTACHEMAIL,ISROLECENTERVIEW , FontName, ImageUrl, IsCompositeView FROM AD_Window_v WHERE AD_Window_ID=117 AND AD_Role_ID=0
----------->     (WARNING)  GridWindowVO.Create: AccessTableNoView - (Not found)
09:41:49.414    (INFO)     Trx.Start: **** ConnSH637571005097497647System.Random
09:41:49.414    (INFO)     Trx.Commit: **C** ConnSH637571005097497647System.Random
09:41:49.414    (INFO)     MChangeLog.FillChangeLog: #9
===========>     (SEVERE)   OracleHelper.ExecuteReader: ORA-01756: quoted string not properly terminated [Query DR] SELECT VAHRUAE_HR_LEAVEDETAIL_ID FROM VAHRUAE_HR_LEAVEDETAIL WHERE C_BPARTNER_ID = 1006736AND VAHRUAE_APPROVE = 'Y' AND VAHRUAE_DATE1= '20-JUN-21
===========>     (SEVERE)   OracleHelper.ExecuteReader: ORA-01756: quoted string not properly terminated [Query DR] SELECT VAHRUAE_HR_LEAVEDETAIL_ID FROM VAHRUAE_HR_LEAVEDETAIL WHERE C_BPARTNER_ID = 1006736AND VAHRUAE_APPROVE = 'Y' AND VAHRUAE_DATE1= '20-JUN-21
===========>     (SEVERE)   PO.DoIt: SELECT VAHRUAE_HR_LEAVEDETAIL_ID FROM VAHRUAE_HR_LEAVEDETAIL WHERE C_BPARTNER_ID = 1006736AND VAHRUAE_APPROVE = 'Y' AND VAHRUAE_DATE1= '20-JUN-21 => ORA-01756: quoted string not properly terminated
09:41:49.414    (INFO)     Trx.Start: **** ConnSH637571005098949158System.Random
09:41:49.414    (INFO)     Trx.Commit: **C** ConnSH637571005098949158System.Random
09:41:49.414    (INFO)     Trx.Start: **** ConnSH637571005099049382System.Random
09:41:49.414    (INFO)     Trx.Commit: **C** ConnSH637571005099049382System.Random
09:41:49.414    (INFO)     Trx.Start: **** ConnDDH637571005099189403System.Random
09:41:49.414    (INFO)     Trx.ExecuteDataSet: Trx Dataset ConnDDH637571005099189403System.Random 56
09:41:49.414    (INFO)     Trx.ExecuteQuery: Trx non-query ConnDDH637571005099189403System.Random 56
09:41:49.414    (INFO)     Trx.Commit: **C** ConnDDH637571005099189403System.Random
09:42:04.424    (INFO)     Trx.Start: **** ConnSH637571005244050542System.Random
09:42:04.424    (INFO)     Trx.Commit: **C** ConnSH637571005244050542System.Random
09:42:34.423    (INFO)     Trx.Start: **** ConnSH637571005547880785System.Random
09:42:34.423    (INFO)     Trx.Commit: **C** ConnSH637571005547880785System.Random
